"System_ID","System_Name","Component_Category","GCP_Service","SKU_Configuration_Singapore","Region","Unit_Price_USD","Quantity","Pricing_Unit","Monthly_On_Demand_USD","Monthly_1Yr_CUD_USD","Monthly_3Yr_CUD_USD","Monthly_On_Demand_PHP","Monthly_1Yr_CUD_PHP","Annual_1Yr_CUD_PHP","Architectural_Role_and_Connection_to_UGNAYAN"
"SYS-04","Kumberso-Sked: Shared Calendar & Room Scheduling","Relational Database","Cloud SQL for PostgreSQL Enterprise Zonal","Dedicated Zonal Instance db-custom-1-3840 (1 vCPU, 3.75 GB RAM) - Room Bookings & VIP Protocol Calendar DB","asia-southeast1",69.73,1,"Instance/Month",69.73,49.51,38.35,4079.21,2896.34,34756.02,"Dedicated database managing 60+ committee hearing rooms, plenary schedules & lawmaker conflict detection"
"SYS-04","Kumberso-Sked: Shared Calendar & Room Scheduling","Database Storage","Cloud SQL PD-SSD Zonal Storage & Backups","30 GB Zonal PD-SSD + 30 GB Automated Backups","asia-southeast1",0.265,30,"GB/Month",7.95,7.95,7.95,465.08,465.08,5580.90,"Storage for historical and future room reservation schedules"
"SYS-04","Kumberso-Sked: Shared Calendar & Room Scheduling","Object Storage","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-sked-notices-prod) - 50 GB Official Hearing Notices, Agendas & Seating Plans","asia-southeast1",0.023,50,"GB/Month",1.15,1.15,1.15,67.28,67.28,807.30,"Stores downloadable committee hearing invitations linked to calendar invites"
"SYS-05","HRep e-Request Portal: Online Service Request System","Application Compute","Cloud Run","Dynamic JSONB Service Catalog, Multi-Tier Approval Engine & RA 11032 SLA Tracker (2 warm instances)","asia-southeast1",55.00,1,"Service Allocation",55.00,41.25,34.65,3217.50,2413.13,28957.50,"Eliminates physical routing slips across 12 offices; pushes pending approvals to Super-App Action Center"
"SYS-05","HRep e-Request Portal: Online Service Request System","Relational Database","Cloud SQL for PostgreSQL Enterprise HA","Dedicated Regional HA Instance db-custom-2-7680 (2 vCPU, 7.5 GB RAM) - Service Tickets & Motorpool DB","asia-southeast1",278.90,1,"Instance/Month",278.90,198.02,153.39,16315.65,11584.17,139010.04,"Dedicated HA database for vehicle dispatches, ICTS repairs, EPFD work orders & legal contract reviews"
"SYS-05","HRep e-Request Portal: Online Service Request System","Database Storage","Cloud SQL PD-SSD HA Storage & PITR Backups","80 GB Regional PD-SSD HA + 80 GB Automated PITR Backups","asia-southeast1",0.435,80,"GB/Month",34.80,34.80,34.80,2035.80,2035.80,24429.60,"Stores dynamic JSONB form submissions and SLA audit trails"
"SYS-05","HRep e-Request Portal: Online Service Request System","Object Storage","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-erequests-attachments) - 250 GB Job Order Photos, MOAs & Signed Clearances","asia-southeast1",0.023,250,"GB/Month",5.75,5.75,5.75,336.38,336.38,4036.50,"3-year COA retention lifecycle; signed URLs served through Super-App gateway"
"SYS-05","HRep e-Request Portal: Online Service Request System","Artificial Intelligence","Vertex AI - Gemini 2.5 Flash","ADK Intelligent Triage Agent, Urgency Scoring & Automated Dispatcher (25M In / 5M Out tokens)","asia-southeast1",6.75,1,"Token Pool/Month",6.75,6.75,6.75,394.88,394.88,4738.50,"Automatically categorizes unstructured staff requests and routes them to the correct division"
"SYS-06","Batasan Pass (VAMS): Visitor & Access Management System","Application Compute","Cloud Run","High-Concurrency Gate Scanner API, Sponsor Endorsement & Rotating TOTP QR Validator (2 warm instances)","asia-southeast1",60.00,1,"Service Allocation",60.00,45.00,37.80,3510.00,2632.50,31590.00,"Processes 3,000-5,000 daily visitors; integrates with SYS-04 Calendar for automated hearing guest lists"
"SYS-06","Batasan Pass (VAMS): Visitor & Access Management System","Relational Database","Cloud SQL for PostgreSQL Enterprise HA","Dedicated Regional HA Instance db-custom-2-7680 (2 vCPU, 7.5 GB RAM) - Visitor Passes & Gate Security DB","asia-southeast1",278.90,1,"Instance/Month",278.90,198.02,153.39,16315.65,11584.17,139010.04,"Dedicated high-availability database for OSAA perimeter security, watchlists & real-time complex occupancy"
"SYS-06","Batasan Pass (VAMS): Visitor & Access Management System","Database Storage","Cloud SQL PD-SSD HA Storage & PITR Backups","60 GB Regional PD-SSD HA + 60 GB Automated PITR Backups","asia-southeast1",0.435,60,"GB/Month",26.10,26.10,26.10,1526.85,1526.85,18322.20,"High-IOPS storage for sub-second gate turnstile QR verification logs"
"SYS-06","Batasan Pass (VAMS): Visitor & Access Management System","Object Storage (DPA Purge)","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-vams-identities) - 150 GB Visitor Selfies & IDs (Auto-deleted after 30 days per DPA)","asia-southeast1",0.023,150,"GB/Month",3.45,3.45,3.45,201.83,201.83,2421.90,"Strict compliance with RA 10173 Data Privacy Act via automated 30-day GCS Object Lifecycle deletion"
"SYS-06","Batasan Pass (VAMS): Visitor & Access Management System","Messaging & Alerts","Notification Dispatch Gateway","Automated SMS / Email QR Pass Delivery to Accredited Guests & VIP Delegations (75,000 passes/mo)","asia-southeast1",26.00,1,"Gateway Allocation",26.00,26.00,26.00,1521.00,1521.00,18252.00,"Delivers cryptographic QR e-passes directly to visitors' mobile devices upon host office endorsement"
"SYS-07","Lakbay-Kongreso: Travel Management System (TMS)","Application Compute","Cloud Run","Travel Authority Workflow, EO 77 / UNDP DSA Per Diem Engine & COA Liquidation Service (2 vCPU, 2 GiB)","asia-southeast1",38.00,1,"Service Allocation",38.00,28.50,23.94,2223.00,1667.25,20007.00,"Automates local/foreign parliamentary travel; routes Speaker/SecGen Travel Authorities via Super-App"
"SYS-07","Lakbay-Kongreso: Travel Management System (TMS)","Relational Database","Cloud SQL for PostgreSQL Enterprise HA","Dedicated Regional HA Instance db-custom-1-3840 (1 vCPU, 3.75 GB RAM) - Travel Orders & Liquidation DB","asia-southeast1",139.45,1,"Instance/Month",139.45,99.01,76.70,8157.83,5792.09,69505.02,"Dedicated financial-grade HA database preventing unliquidated COA cash advance accumulation"
"SYS-07","Lakbay-Kongreso: Travel Management System (TMS)","Database Storage","Cloud SQL PD-SSD HA Storage & PITR Backups","50 GB Regional PD-SSD HA + 50 GB Automated PITR Backups","asia-southeast1",0.435,50,"GB/Month",21.75,21.75,21.75,1272.38,1272.38,15268.50,"Stores EO 77 rate tables, foreign exchange computations, and COA liquidation ledgers"
"SYS-07","Lakbay-Kongreso: Travel Management System (TMS)","Object Storage (CMEK)","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-travel-vault) - 200 GB CMEK Encrypted Diplomatic Passports, Visas & Receipts","asia-southeast1",0.023,200,"GB/Month",4.60,4.60,4.60,269.10,269.10,3229.20,"Hardware-encrypted storage for IPAD diplomatic passport scans, boarding passes, and COA e-receipts"
"SYS-07","Lakbay-Kongreso: Travel Management System (TMS)","Artificial Intelligence","Vertex AI - Gemini 2.5 Flash Vision","Automated COA Liquidation Receipt OCR, Foreign Currency Parsing & Expense Itemization (30M In / 8M Out)","asia-southeast1",9.30,1,"Token Pool/Month",9.30,9.30,9.30,544.05,544.05,6528.60,"Extracts hotel/flight receipt line items from mobile photos to auto-generate COA Liquidation Reports"
"SYS-08","Lingkod-Kawani: HR & Attendance Management (DTR)","Application Compute","Cloud Run","Biometric Clock TCP Receiver, Haversine Geofence Validator & CSC Form 48 PDF Engine (2 vCPU, 2 GiB)","asia-southeast1",45.00,1,"Service Allocation",45.00,33.75,28.35,2632.50,1974.38,23692.50,"Processes daily timekeeping for 3,500+ staff; syncs approved travel/leave dates with SYS-07 and SYS-04"
"SYS-08","Lingkod-Kawani: HR & Attendance Management (DTR)","Relational Database","Cloud SQL for PostgreSQL Enterprise HA","Dedicated Regional HA Instance db-custom-2-7680 (2 vCPU, 7.5 GB RAM) - Personnel, DTR & Leave Ledger DB","asia-southeast1",278.90,1,"Instance/Month",278.90,198.02,153.39,16315.65,11584.17,139010.04,"Dedicated high-availability database for Civil Service Commission (CSC) compliant attendance & leave balances"
"SYS-08","Lingkod-Kawani: HR & Attendance Management (DTR)","Database Storage","Cloud SQL PD-SSD HA Storage & PITR Backups","100 GB Regional PD-SSD HA + 100 GB Automated PITR Backups","asia-southeast1",0.435,100,"GB/Month",43.50,43.50,43.50,2544.75,2544.75,30537.00,"Stores multi-year biometric punch logs and leave monetization computations"
"SYS-08","Lingkod-Kawani: HR & Attendance Management (DTR)","Object Storage","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-dtr-records-prod) - 300 GB Cryptographically Signed CSC Form 48 PDFs & Leave Slips","asia-southeast1",0.023,300,"GB/Month",6.90,6.90,6.90,403.65,403.65,4843.80,"Immutable monthly archive of employee-signed Daily Time Records for payroll and COA audit"
"SYS-09","Target-Kongreso: Planning, Monitoring & Evaluation (SPMS)","Application Compute","Cloud Run","Strategic Performance Management (OPCR/DPCR/IPCR) Rating & MFO Calibration Service (1 vCPU, 2 GiB)","asia-southeast1",25.00,1,"Service Allocation",25.00,18.75,15.75,1462.50,1096.88,13162.50,"Tracks KMSB institutional work plans and employee performance ratings; integrates with Super-App hub"
"SYS-09","Target-Kongreso: Planning, Monitoring & Evaluation (SPMS)","Relational Database","Cloud SQL for PostgreSQL Enterprise Zonal","Dedicated Zonal Instance db-custom-1-3840 (1 vCPU, 3.75 GB RAM) - SPMS Targets & Budget Realization DB","asia-southeast1",69.73,1,"Instance/Month",69.73,49.51,38.35,4079.21,2896.34,34756.02,"Dedicated database for Major Final Outputs (MFOs), PMT calibration scores & PBB incentive eligibility"
"SYS-09","Target-Kongreso: Planning, Monitoring & Evaluation (SPMS)","Database Storage","Cloud SQL PD-SSD Zonal Storage & Backups","40 GB Zonal PD-SSD + 40 GB Automated Backups","asia-southeast1",0.265,40,"GB/Month",10.60,10.60,10.60,620.10,620.10,7441.20,"Stores departmental strategic plans and semi-annual evaluation matrices"
"SYS-09","Target-Kongreso: Planning, Monitoring & Evaluation (SPMS)","Object Storage","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-spms-mov-prod) - 150 GB Means of Verification (MOV) Portfolios & Accomplishments","asia-southeast1",0.023,150,"GB/Month",3.45,3.45,3.45,201.83,201.83,2421.90,"Repository for evidentiary documents uploaded during OPCR/IPCR review cycles"
"SYS-10","Asset-Track: Property, Plant & Equipment Inventory (PPE)","Application Compute","Cloud Run","RFID/Barcode Mobile Scanner API, PAR/ICS Lifecycle & COA Depreciation Service (1 vCPU, 2 GiB RAM)","asia-southeast1",30.00,1,"Service Allocation",30.00,22.50,18.90,1755.00,1316.25,15795.00,"Manages Batasan complex physical assets; links to SYS-05 e-Request for equipment requisitions"
"SYS-10","Asset-Track: Property, Plant & Equipment Inventory (PPE)","Relational Database","Cloud SQL for PostgreSQL Enterprise Zonal","Dedicated Zonal Instance db-custom-1-3840 (1 vCPU, 3.75 GB RAM) - PPE Asset Registry & Supply Ledger DB","asia-southeast1",69.73,1,"Instance/Month",69.73,49.51,38.35,4079.21,2896.34,34756.02,"Dedicated database for Property, Plant & Equipment tagging, straight-line depreciation & annual count"
"SYS-10","Asset-Track: Property, Plant & Equipment Inventory (PPE)","Database Storage","Cloud SQL PD-SSD Zonal Storage & Backups","50 GB Zonal PD-SSD + 50 GB Automated Backups","asia-southeast1",0.265,50,"GB/Month",13.25,13.25,13.25,775.13,775.13,9301.50,"Stores asset custody chains and COA physical inventory reconciliation logs"
"SYS-10","Asset-Track: Property, Plant & Equipment Inventory (PPE)","Object Storage","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-ppe-assets-prod) - 200 GB Signed PAR/ICS Receipts, Asset Photos & Delivery Receipts","asia-southeast1",0.023,200,"GB/Month",4.60,4.60,4.60,269.10,269.10,3229.20,"Stores digitally signed Property Acknowledgment Receipts (PAR) and Inventory Custodian Slips (ICS)"
"SYS-11","Kongreso Academy: Learning Management System (LMS)","Application Compute","Cloud Run","SCORM/xAPI Learning Runtime, Quiz Evaluation Engine & Certificate Signer Service (1 vCPU, 2 GiB RAM)","asia-southeast1",30.00,1,"Service Allocation",30.00,22.50,18.90,1755.00,1316.25,15795.00,"Delivers parliamentary procedure onboarding & legislative staff training; syncs credits to SYS-08 HR"
"SYS-11","Kongreso Academy: Learning Management System (LMS)","Relational Database","Cloud SQL for PostgreSQL Enterprise Zonal","Dedicated Zonal Instance db-custom-1-3840 (1 vCPU, 3.75 GB RAM) - Course Catalog & Training Records DB","asia-southeast1",69.73,1,"Instance/Month",69.73,49.51,38.35,4079.21,2896.34,34756.02,"Dedicated database tracking employee course enrollments, exam scores, and CPD/CSC training hours"
"SYS-11","Kongreso Academy: Learning Management System (LMS)","Database Storage","Cloud SQL PD-SSD Zonal Storage & Backups","40 GB Zonal PD-SSD + 40 GB Automated Backups","asia-southeast1",0.265,40,"GB/Month",10.60,10.60,10.60,620.10,620.10,7441.20,"Stores SCORM learner progress states and digital certificate verification hashes"
"SYS-11","Kongreso Academy: Learning Management System (LMS)","Object Storage & CDN","Google Cloud Storage + Cloud CDN","Dedicated Bucket (hrep-lms-media-prod) - 1,000 GB (1 TB) HD Training Video Modules + CDN Streaming Egress","asia-southeast1",65.00,1,"Media & CDN Suite",65.00,65.00,65.00,3802.50,3802.50,45630.00,"High-speed adaptive bitrate video streaming for 315+ district offices nationwide"
"SYS-12","Executive Command Center: Live Monitoring Dashboard","Application Compute","Cloud Run","Low-Latency WebSocket Telemetry Aggregator & Wallboard Broadcaster for Speaker/SG (2 vCPU, 2 GiB RAM)","asia-southeast1",35.00,1,"Service Allocation",35.00,26.25,22.05,2047.50,1535.63,18427.50,"Real-time executive control room; subscribes to live event streams across all 14 systems via Super-App bus"
"SYS-12","Executive Command Center: Live Monitoring Dashboard","Relational & Time-Series DB","Cloud SQL for PostgreSQL Enterprise Zonal","Dedicated Zonal Instance db-custom-1-3840 (1 vCPU, 3.75 GB RAM) - Live SLA & Operational Telemetry DB","asia-southeast1",69.73,1,"Instance/Month",69.73,49.51,38.35,4079.21,2896.34,34756.02,"Stores rolling time-series snapshots of complex occupancy, plenary status, and ARTA SLA queues"
"SYS-12","Executive Command Center: Live Monitoring Dashboard","Database Storage","Cloud SQL PD-SSD Zonal Storage & Backups","50 GB Zonal PD-SSD + 50 GB Automated Backups","asia-southeast1",0.265,50,"GB/Month",13.25,13.25,13.25,775.13,775.13,9301.50,"High-throughput storage for operational KPI time-series aggregations"
"SYS-12","Executive Command Center: Live Monitoring Dashboard","In-Memory Stream","Memorystore for Redis Basic","Dedicated M1 Instance (1 GB) - Sub-Second Wallboard WebSocket Pub/Sub Broadcast Cache","asia-southeast1",35.77,1,"Instance/Month",35.77,28.62,22.89,2092.55,1674.27,20091.24,"Powers live glowing wallboard indicators in the Office of the Speaker and Secretary General"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription System","Application Compute","Cloud Run","Audio Ingestion Pipeline, Speaker Diarization Worker & WaveSurfer Stenographer Editor API (2 vCPU, 4 GiB)","asia-southeast1",45.00,1,"Service Allocation",45.00,33.75,28.35,2632.50,1974.38,23692.50,"Dedicated AI transcription workbench; pushes finalized transcripts to SYS-01 LODS and SYS-02 DMS"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription System","Relational Database","Cloud SQL for PostgreSQL Enterprise HA","Dedicated Regional HA Instance db-custom-1-3840 (1 vCPU, 3.75 GB RAM) - Transcripts & Speaker Lexicon DB","asia-southeast1",139.45,1,"Instance/Month",139.45,99.01,76.70,8157.83,5792.09,69505.02,"Dedicated HA database storing time-coded stenographic segments, lawmaker voice profiles & edits"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription System","Database Storage","Cloud SQL PD-SSD HA Storage & PITR Backups","80 GB Regional PD-SSD HA + 80 GB Automated PITR Backups","asia-southeast1",0.435,80,"GB/Month",34.80,34.80,34.80,2035.80,2035.80,24429.60,"Stores searchable transcript segments and legislative vocabulary custom models"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription System","Speech-to-Text AI","Google Cloud Speech-to-Text V2 (Chirp 2)","Chirp 2 Universal Speech Model (Taglish Plenary & Committee Hearings: 300 hours / 18,000 mins per month)","asia-southeast1",0.016,18000,"Minute",288.00,288.00,288.00,16848.00,16848.00,202176.00,"High-precision Filipino-English code-switching ASR; supplemented by free Google Meet Gemini Notes"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription System","Generative AI","Vertex AI - Gemini 2.5 Pro","Automated Committee Report Drafting, Plenary Journal Synthesis & Action Item Extraction (22M In / 4M Out)","asia-southeast1",67.50,1,"Token Pool/Month",67.50,67.50,67.50,3948.75,3948.75,47385.00,"Synthesizes 3-hour committee transcripts into structured parliamentary minutes in under 60 seconds"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription System","Object Storage (Audio)","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-transcription-audio-prod) - 1,500 GB (1.5 TB) Multi-Track Audio/Video Recordings","asia-southeast1",0.023,1500,"GB/Month",34.50,34.50,34.50,2018.25,2018.25,24219.00,"Stores master audio recordings synced to the interactive WaveSurfer.js stenographer foot-pedal editor"
"SYS-14","HRep Insights: Enterprise Reporting & Analytics Platform","Data Lakehouse Storage","Google Cloud BigQuery Storage","Enterprise Analytical Data Warehouse Storage - 1,000 GB (1 TB) Active Dimensional Data Marts","asia-southeast1",0.023,1000,"GB/Month",23.00,23.00,23.00,1345.50,1345.50,16146.00,"Centralized analytical repository unifying historical data across all 14 Secretariat systems"
"SYS-14","HRep Insights: Enterprise Reporting & Analytics Platform","Analytical Query Engine","Google Cloud BigQuery Analysis","On-Demand / Slot Analytical Query Processing (6 TB/month scanned across BI dashboards & reports)","asia-southeast1",6.00,6,"TB Scanned/Month",36.00,36.00,36.00,2106.00,2106.00,25272.00,"Powers cross-department executive reports, legislative velocity analytics & GAD sex-disaggregated stats"
